弗兰克·德拉邦特,弗兰克·德拉邦特/弗兰克·德拉邦特,保罗·麦克兰尼/蒂姆·罗宾斯/摩根·弗里曼/鲍勃·冈顿/威廉姆·赛德勒,剧情,美国,英语,142分钟

克里斯托弗·诺兰,乔纳森·诺兰/克里斯托弗·诺兰/大卫/鲍勃·凯恩,克里斯蒂安·贝尔/希斯·莱杰/艾伦·艾克哈特/迈克尔·凯恩/玛吉·吉伦哈尔,动作片/犯罪/剧情/惊悚片,美国,英语,152分钟

大卫·芬奇,恰克·帕拉尼克/吉姆·乌尔斯,爱德华·诺顿/布拉德·皮特/米特·洛夫/扎克·格雷尼尔/RichmondArquette,剧情,美国,英语,151分钟

昆汀·塔伦蒂诺,昆汀·塔伦蒂诺/罗杰·阿夫瑞,蒂姆·罗斯/阿曼达·普拉莫/劳拉·拉芙蕾丝/约翰·特拉沃尔塔/塞缪尔·杰克逊,犯罪/剧情,美国,英语,178分钟

罗伯特·泽米吉斯,温斯顿·格鲁姆/艾瑞克·罗斯,汤姆·汉克斯/RebeccaWilliams/莎莉·菲尔德/迈克尔·康纳/哈罗德·G·赫瑟姆,剧情/爱情,美国,英语,142分钟

拉娜·沃卓斯基/莉莉·沃卓斯基,莉莉·沃卓斯基/拉娜·沃卓斯基,基努·里维斯/劳伦斯·菲什伯恩/凯瑞/雨果·维文/格洛丽亚·福斯特,动作片/科幻,美国,英语,136分钟

彼得·杰克逊,J.R.R.Tolkien/弗兰·威尔士/菲利帕·鲍恩斯/彼得·杰克逊,NoelAppleby/西恩·奥斯汀/萨拉·贝克/肖恩·宾/凯特·布兰切特,冒险/剧情/奇幻片,美国/新西兰,英语,208分钟(加长版)/228分钟(蓝光加长版)

彼得·杰克逊,J.R.R.Tolkien/弗兰·威尔士/菲利帕·鲍恩斯/彼得·杰克逊,NoelAppleby/AliAstin/西恩·奥斯汀/DavidAston/约翰·贝西,冒险/剧情/奇幻片,美国/新西兰,英语,254分钟(加长版)/263分钟(蓝光加长版)

弗朗西斯·福特·科波拉,马里奥·普佐/弗朗西斯·福特·科波拉,马龙·白兰度/阿尔·帕西诺/詹姆斯·肯恩/理查德·卡斯特尔诺/罗伯特·杜瓦尔,犯罪/剧情,美国,英语,175分钟

克里斯托弗·诺兰,乔纳森·诺兰/克里斯托弗·诺兰/大卫/鲍勃·凯恩,克里斯蒂安·贝尔/加里·奥德曼/汤姆·哈迪/约瑟夫·高登/安妮·海瑟薇,动作片/惊悚片,英国,英语,164分钟

